machine_id,machine_type,cycle_id,operating_hours,pressure_mean_bar,pressure_std_bar,flow_mean_lpm,oil_temp_mean_c,vibration_rms_mms,motor_power_kw,pump_speed_mean_rpm,cooling_efficiency_pct,cooler_condition,valve_condition,pump_leakage,accumulator_pressure,stability_flag
1,Telehandler,0,0.0,214.86,2.19,8.44,43.89,1.12,15.01,1445.4,99.6,100,100,0,130,0
1,Telehandler,1,7.2,215.29,4.69,8.17,45.76,0.74,14.44,1441.5,100.0,100,100,0,130,0
1,Telehandler,2,13.0,217.35,3.17,8.82,42.49,0.68,15.41,1461.0,96.6,100,100,0,130,0
1,Telehandler,3,13.7,208.13,3.45,8.49,47.81,1.03,14.18,1465.7,100.0,100,100,0,130,0
1,Telehandler,4,28.6,211.23,3.94,8.15,43.33,1.11,16.07,1473.4,100.0,100,100,0,130,0
1,Telehandler,5,35.1,208.2,3.33,8.01,45.14,1.55,17.85,1475.0,96.8,100,100,0,130,0
1,Telehandler,6,29.6,220.14,2.21,8.57,45.28,0.79,15.23,1450.4,97.4,100,100,0,130,0
1,Telehandler,7,31.1,208.86,0.68,8.44,48.15,1.25,15.68,1457.6,96.4,100,100,0,130,0
1,Telehandler,8,51.3,215.88,2.29,8.55,44.97,1.67,13.83,1481.3,100.0,100,100,0,130,0
1,Telehandler,9,33.3,211.83,2.29,8.57,48.37,1.31,14.93,1465.6,98.2,100,100,0,130,0
1,Telehandler,10,40.0,213.08,2.51,8.4,46.85,0.95,15.84,1472.0,95.5,100,100,0,130,0
1,Telehandler,11,33.4,211.14,2.49,8.61,43.58,1.24,15.41,1464.7,100.0,100,100,0,130,0
1,Telehandler,12,83.2,212.8,1.07,8.65,45.9,1.33,14.5,1435.5,97.0,100,100,0,130,0
1,Telehandler,13,82.2,210.35,2.37,8.39,46.18,1.71,14.68,1443.7,91.1,100,100,0,130,0
1,Telehandler,14,91.4,218.02,3.44,8.66,46.92,1.41,14.71,1426.1,100.0,100,100,0,130,0
1,Telehandler,15,103.6,210.16,4.21,8.6,46.73,1.44,14.94,1443.3,96.8,100,100,0,130,0
1,Telehandler,16,84.7,205.65,2.86,8.73,46.12,1.55,14.47,1437.5,96.4,100,100,0,130,0
1,Telehandler,17,99.3,210.09,4.08,7.72,45.25,1.44,16.47,1435.4,99.2,100,100,0,130,0
1,Telehandler,18,66.6,209.66,1.19,8.32,47.06,1.07,16.06,1444.4,99.8,100,100,0,130,0
1,Telehandler,19,67.9,207.25,3.22,8.67,44.74,1.4,13.74,1437.3,100.0,100,100,0,130,0
1,Telehandler,20,126.8,207.82,4.76,8.97,46.05,1.35,17.54,1425.0,92.3,100,100,0,130,0
1,Telehandler,21,112.5,205.69,3.92,8.75,44.66,1.52,16.12,1460.8,98.8,100,100,0,130,0
1,Telehandler,22,128.2,209.8,3.06,8.85,47.69,1.43,14.49,1440.4,97.5,100,100,0,130,0
1,Telehandler,23,157.0,209.56,1.26,9.24,43.23,0.94,14.95,1443.4,99.1,100,100,0,130,0
1,Telehandler,24,148.2,199.64,5.09,8.36,47.85,1.38,15.19,1463.4,99.2,100,100,0,130,0
1,Telehandler,25,144.2,205.3,5.25,8.98,47.23,1.96,14.25,1432.4,93.6,100,100,0,130,0
1,Telehandler,26,150.7,212.68,3.93,8.63,45.28,1.75,13.47,1458.3,100.0,100,100,0,130,0
1,Telehandler,27,122.0,206.44,4.73,8.07,45.68,1.61,14.78,1425.1,97.2,100,100,0,130,0
1,Telehandler,28,88.3,203.59,3.0,7.99,45.49,1.13,15.93,1451.9,99.0,100,100,0,130,0
1,Telehandler,29,150.3,209.67,3.81,8.39,44.88,1.19,13.49,1457.9,90.2,100,100,0,130,0
1,Telehandler,30,122.2,213.13,3.67,8.7,44.3,0.98,14.84,1441.1,100.0,100,100,0,130,0
1,Telehandler,31,156.3,208.42,3.21,8.37,48.1,1.28,14.79,1463.2,100.0,100,100,0,130,0
1,Telehandler,32,232.5,202.66,3.59,8.29,48.26,2.13,15.23,1446.6,92.4,100,100,0,130,0
1,Telehandler,33,137.6,202.89,4.79,8.86,48.18,1.48,15.3,1445.6,94.4,100,100,0,130,0
1,Telehandler,34,111.9,210.97,4.96,8.42,44.98,1.0,15.97,1462.7,96.4,100,100,0,130,0
1,Telehandler,35,154.2,205.9,4.33,9.02,48.28,1.63,14.31,1459.8,97.4,100,100,0,130,0
1,Telehandler,36,160.8,210.49,3.76,8.64,49.1,1.29,14.87,1445.5,96.5,100,100,0,130,0
1,Telehandler,37,233.5,204.49,4.15,8.63,48.24,1.31,16.03,1419.0,92.2,100,100,0,130,0
1,Telehandler,38,219.8,214.52,3.54,8.38,49.01,1.32,14.29,1476.3,97.8,100,100,0,130,0
1,Telehandler,39,269.9,204.76,1.92,8.33,46.24,1.42,16.18,1435.5,94.5,100,100,0,130,0
1,Telehandler,40,252.9,198.99,4.21,8.25,50.52,1.78,17.04,1403.3,92.5,100,100,0,130,0
1,Telehandler,41,206.3,211.33,3.22,8.4,45.67,1.5,14.66,1471.4,97.0,100,100,0,130,0
1,Telehandler,42,296.9,208.43,2.82,8.54,46.46,1.64,16.62,1452.2,97.5,100,100,0,130,0
1,Telehandler,43,164.9,209.44,4.41,8.77,49.67,1.57,14.56,1445.5,100.0,100,100,0,130,0
1,Telehandler,44,137.0,211.27,3.78,9.13,46.11,1.47,13.76,1444.2,94.9,100,100,0,130,0
1,Telehandler,45,155.3,205.14,1.25,8.22,44.4,0.8,16.87,1460.4,100.0,100,100,0,130,0
1,Telehandler,46,304.1,201.67,4.25,8.29,44.48,1.68,15.67,1473.9,94.6,100,100,0,130,0
1,Telehandler,47,249.5,210.27,5.06,8.59,48.05,1.25,15.82,1435.0,91.2,100,100,0,130,0
1,Telehandler,48,182.7,205.67,3.74,8.28,46.43,1.5,15.12,1427.0,95.8,100,100,0,130,0
1,Telehandler,49,269.8,204.08,3.06,7.93,51.61,1.36,14.57,1438.8,95.7,100,100,0,130,0
1,Telehandler,50,188.1,200.36,2.6,8.61,50.51,1.63,15.36,1423.7,97.9,100,100,0,130,0
1,Telehandler,51,330.6,196.7,4.67,7.94,43.42,1.35,18.07,1433.6,82.0,100,100,0,130,0
1,Telehandler,52,272.0,202.78,3.18,8.41,50.63,1.46,15.06,1462.0,96.6,100,100,0,130,0
1,Telehandler,53,260.0,206.01,2.31,8.92,45.11,1.37,16.35,1448.5,96.4,100,100,0,130,0
1,Telehandler,54,243.4,206.98,5.2,8.53,50.22,1.81,17.64,1448.6,94.9,100,100,0,130,0
1,Telehandler,55,338.3,196.86,4.64,8.39,51.27,1.87,15.74,1451.9,91.5,100,100,0,130,0
1,Telehandler,56,269.3,202.92,3.61,8.74,50.7,1.8,15.7,1436.6,94.1,100,100,0,130,0
1,Telehandler,57,196.0,202.3,4.98,8.33,50.65,1.5,15.08,1427.1,97.0,100,100,0,130,0
1,Telehandler,58,208.2,207.85,3.5,8.55,43.83,1.81,14.6,1444.9,100.0,100,100,0,130,0
1,Telehandler,59,460.8,211.4,4.45,8.14,47.25,1.74,15.39,1434.0,88.3,100,100,0,130,0
1,Telehandler,60,452.6,204.46,5.09,8.35,51.86,2.74,13.76,1445.0,91.9,100,100,0,130,0
1,Telehandler,61,396.4,207.59,3.56,7.9,48.13,1.45,15.13,1452.5,95.0,100,100,0,130,0
1,Telehandler,62,268.4,204.05,3.73,8.07,48.91,1.79,14.75,1411.7,91.9,100,100,0,130,0
1,Telehandler,63,494.3,197.46,5.04,8.2,48.68,2.34,16.02,1412.5,90.1,100,100,0,130,0
1,Telehandler,64,441.2,203.07,5.64,8.42,50.47,1.7,18.23,1455.6,87.8,100,100,0,130,0
1,Telehandler,65,428.0,195.77,4.1,8.76,46.7,1.85,16.38,1418.6,91.7,100,100,0,130,0
1,Telehandler,66,346.3,205.9,4.82,7.97,52.66,1.37,16.07,1453.6,87.7,100,100,0,130,0
1,Telehandler,67,292.2,203.64,2.95,8.26,53.21,2.7,15.25,1401.5,91.6,100,100,0,130,0
1,Telehandler,68,236.8,207.99,3.92,8.47,43.13,1.35,15.92,1472.3,95.5,100,100,0,130,0
1,Telehandler,69,518.4,196.88,5.72,7.9,51.77,2.18,15.78,1439.5,93.5,100,100,0,130,0
1,Telehandler,70,369.5,203.35,4.36,8.01,45.33,1.57,14.97,1455.4,88.3,100,100,0,130,0
1,Telehandler,71,284.8,205.32,3.36,7.8,48.67,1.13,15.94,1445.4,95.6,100,100,0,130,0
1,Telehandler,72,326.1,197.38,4.24,8.33,47.71,1.74,15.04,1458.1,84.3,100,100,0,130,0
1,Telehandler,73,430.4,199.88,5.42,7.85,51.46,2.16,15.86,1454.1,88.9,100,100,0,130,0
1,Telehandler,74,287.4,200.13,4.63,8.55,46.9,1.93,15.77,1434.3,88.9,100,100,0,130,0
1,Telehandler,75,546.2,202.87,4.26,8.31,50.22,1.7,15.68,1413.9,87.7,100,100,0,130,0
1,Telehandler,76,516.2,202.07,5.46,8.06,49.91,1.92,17.77,1407.0,87.1,100,100,0,130,0
1,Telehandler,77,508.0,194.88,4.29,7.88,49.91,2.13,17.18,1418.0,86.9,100,100,0,130,0
1,Telehandler,78,402.5,202.01,5.29,8.29,50.17,1.67,14.79,1422.4,87.3,100,100,0,130,0
1,Telehandler,79,484.8,202.25,4.3,8.11,45.91,1.75,14.98,1459.2,94.0,100,100,0,130,0
1,Telehandler,80,473.6,204.16,5.53,8.26,51.69,1.77,16.44,1424.2,89.2,100,100,0,130,0
1,Telehandler,81,506.2,204.19,5.4,8.5,49.15,2.21,17.48,1440.1,83.0,100,100,0,130,0
1,Telehandler,82,280.6,203.82,2.44,8.07,44.84,1.24,15.26,1418.8,93.3,100,100,0,130,0
1,Telehandler,83,421.6,203.62,3.92,8.17,49.26,1.54,14.25,1436.6,92.4,100,100,0,130,0
1,Telehandler,84,269.5,205.11,2.89,8.66,46.99,1.85,15.91,1440.8,84.0,100,100,0,130,0
1,Telehandler,85,464.9,197.64,3.13,8.62,49.12,2.06,15.59,1436.2,89.9,100,100,0,130,0
1,Telehandler,86,399.8,198.27,4.32,7.91,49.87,1.53,17.93,1417.2,87.1,100,100,0,130,0
1,Telehandler,87,323.9,202.27,4.42,8.01,48.25,1.96,14.88,1449.6,91.4,100,100,0,130,0
1,Telehandler,88,309.5,195.0,2.88,8.02,48.16,1.84,14.66,1452.5,93.3,100,100,0,130,0
1,Telehandler,89,528.5,196.49,5.01,8.21,51.11,2.2,15.63,1429.8,89.7,100,100,0,130,0
1,Telehandler,90,346.8,201.35,3.72,7.8,48.45,1.8,14.86,1405.5,91.0,100,100,0,130,0
1,Telehandler,91,693.9,208.36,5.37,8.05,53.27,2.37,16.76,1438.7,77.2,20,100,0,130,0
